Year,Pick,Team,Player,College,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,Win Shares,WS/48,BPM,VORP,MPG,PPG,RPG,APG,Pick Range,Career Tier,Bust?,Pick Efficiency,Value Above Expected
2011,18,WAS,Chris Singleton,Florida State,148,2605,612,472,92,0.376,0.319,0.633,2.3,0.042,-3.2,-0.8,17.6,4.1,3.2,0.6,Mid First,Minimal,No,0.13,-15.01
2011,19,CHA,Tobias Harris,Tennessee,729,22807,11970,4523,1655,0.476,0.366,0.829,56.9,0.12,1.1,18,31.3,16.4,6.2,2.3,Mid First,Starter,No,2.99,39.33
2011,20,MIN,Donatas Motiej?nas,,251,4566,1832,952,269,0.469,0.3,0.597,7.1,0.075,-2.5,-0.5,18.2,7.3,3.8,1.1,Mid First,Minimal,No,0.36,-3.29
2011,21,POR,Nolan Smith,Duke,84,829,277,83,97,0.371,0.26,0.714,-0.8,-0.047,-6,-0.8,9.9,3.3,1,1.2,Late First,Minimal,No,-0.04,-21.30
2011,22,DEN,Kenneth Faried,Morehead State University,478,11728,5430,3884,470,0.546,0.222,0.654,38.8,0.159,0.5,7.5,24.5,11.4,8.1,1,Late First,Starter,No,1.76,20.32
2011,23,HOU,Nikola Miroti?,,319,7718,3910,1894,407,0.423,0.359,0.808,20.8,0.129,1.6,7.1,24.2,12.3,5.9,1.3,Late First,Rotation,No,0.90,4.16
2011,24,OKC,Reggie Jackson,Boston College,685,17423,8864,2047,2920,0.425,0.345,0.854,33.7,0.093,0.2,9.4,25.4,12.9,3,4.3,Late First,Starter,No,1.40,9.20
2011,25,BOS,MarShon Brooks,Providence,200,3456,1592,424,282,0.447,0.345,0.751,3.3,0.046,-1.6,0.4,17.3,8,2.1,1.4,Late First,Minimal,No,0.13,-9.60
2011,26,DAL,Jordan Hamilton,Texas,151,2100,890,429,127,0.408,0.357,0.67,3,0.069,-0.1,1,13.9,5.9,2.8,0.8,Late First,Minimal,No,0.12,-17.40
2011,27,BRK,JaJuan Johnson,Purdue,36,298,114,58,6,0.446,,0.667,0.2,0.032,-3.9,-0.1,8.3,3.2,1.6,0.2,Late First,Minimal,No,0.01,-20.91
2011,28,CHI,Norris Cole,Cleveland State University,360,8018,2506,702,981,0.407,0.324,0.743,3,0.018,-4.1,-4.1,22.3,7,2,2.7,Late First,Minimal,No,0.11,-5.65
2011,29,SAS,Cory Joseph,Texas,710,15708,5020,1828,2133,0.444,0.343,0.781,27.9,0.085,-1,3.8,22.1,7.1,2.6,3,Late First,Rotation,No,0.96,22.83
2011,30,CHI,Jimmy Butler,Marquette,673,22306,11873,3579,2764,0.459,0.321,0.842,91.5,0.197,4.7,37.6,33.1,17.6,5.3,4.1,Late First,Star,No,3.05,70.78
2012,1,NOP,Anthony Davis,Kentucky,601,20698,14318,6129,1399,0.515,0.303,0.794,91.5,0.212,6,42,34.4,23.8,10.2,2.3,Top 5,Star,No,91.50,47.92
2012,2,CHA,Michael Kidd-Gilchrist,Kentucky,446,10978,3750,2420,515,0.474,0.272,0.715,21,0.092,-1.8,0.6,24.6,8.4,5.4,1.2,Top 5,Rotation,No,10.50,-18.79
2012,3,WAS,Bradley Beal,Florida,645,22418,14231,2641,2701,0.456,0.372,0.821,49.2,0.105,1.7,21,34.8,22.1,4.1,4.2,Top 5,Starter,No,16.40,-1.57
2012,4,CLE,Dion Waiters,Syracuse,419,11835,5505,1108,1163,0.412,0.346,0.694,8.8,0.036,-2.1,-0.4,28.2,13.1,2.6,2.8,Top 5,Minimal,Yes,2.20,-39.76
2012,5,SAC,Thomas Robinson,Kansas,313,4204,1528,1507,190,0.47,0,0.505,4.6,0.053,-3.5,-1.6,13.4,4.9,4.8,0.6,Top 5,Minimal,Yes,0.92,-26.76
2012,6,POR,Damian Lillard,Weber State,711,25835,17510,2976,4726,0.437,0.373,0.893,94.5,0.176,4.7,43.8,36.3,24.6,4.2,6.6,Lottery,Star,No,15.75,66.84
